lat,lng,city,state_id
21.3865,-157.9232,Aiea,HI
21.3421,-157.7303,Waimanalo,HI
21.2975,-157.7211,East_Honolulu,HI
19.5828,-154.9693,Hawaiian_Paradise_Park,HI
21.4143,-157.9966,Waipio,HI
20.7653,-156.4454,Kihei,HI
22.065,-159.3771,Wailua_Homesteads,HI
20.848,-156.319,Makawao,HI
20.8329,-156.3415,Pukalani,HI
20.7706,-156.3284,Kula,HI
21.4053,-158.0318,Royal_Kunia,HI
21.4735,-158.2103,Makaha,HI
21.4756,-157.9947,Mililani_Mauka,HI
20.9188,-156.5063,Waihee-Waiehu,HI
21.3145,-158.0289,Ocean_Pointe,HI
19.6238,-155.9269,Holualoa,HI
19.7369,-156.0122,Kalaoa,HI
21.392,-157.7396,Kailua,HI
21.4062,-157.7904,Kaneohe,HI
20.9767,-156.6646,Napili-Honokowai,HI
21.3311,-157.9475,Hickam_Housing,HI
20.8834,-156.5059,Wailuku,HI
21.4134,-158.1702,Maili,HI
21.4689,-158.0173,Waipio_Acres,HI
21.5004,-158.0198,Wahiawa,HI
21.9954,-159.3493,Hanamaulu,HI
19.9285,-155.8185,Waikoloa_Village,HI
26.1593,-80.1395,Wilton_Manors,FL
28.7893,-81.276,Sanford,FL
26.2057,-80.2549,Tamarac,FL
30.0472,-81.7855,Asbury_Lake,FL
28.469,-82.5999,Timber_Pines,FL
25.8787,-80.125,Surfside,FL
28.6928,-80.8468,Mims,FL
26.3218,-80.2533,Parkland,FL
28.4727,-81.4169,Oak_Ridge,FL
30.529,-86.4753,Niceville,FL
28.2118,-82.7504,Beacon_Square,FL
27.7065,-82.4209,Ruskin,FL
25.7241,-80.339,Olympia_Heights,FL
25.8216,-80.2417,Brownsville,FL
26.8486,-80.166,Palm_Beach_Gardens,FL
30.7943,-85.226,Marianna,FL
28.7754,-81.3721,Heathrow,FL
27.9087,-82.7162,South_Highpoint,FL
30.2956,-82.9847,Live_Oak,FL
27.6378,-80.4855,West_Vero_Corridor,FL
27.3328,-82.4616,Fruitville,FL
28.4651,-81.374,Pine_Castle,FL
27.8832,-82.3593,Progress_Village,FL
27.9942,-82.4451,Tampa,FL
28.8815,-81.324,DeBary,FL
26.0463,-80.2862,Cooper_City,FL
28.8006,-82.3372,Inverness_Highlands_South,FL
30.4158,-87.3028,Myrtle_Grove,FL
26.0889,-81.7031,Lely_Resort,FL
27.8155,-82.7162,Kenneth_City,FL
26.2466,-80.2119,Margate,FL
28.6271,-81.4354,Lockhart,FL
27.0694,-82.4054,Venice_Gardens,FL
26.126,-80.2617,Plantation,FL
26.6195,-80.0591,Lake_Worth,FL
28.8359,-82.488,Lecanto,FL
28.9451,-82.3781,Hernando,FL
28.3349,-81.3539,Buenaventura_Lakes,FL
27.8868,-81.8213,Bartow,FL
26.2802,-80.1842,Coconut_Creek,FL
25.9385,-80.1246,Sunny_Isles_Beach,FL
30.4427,-87.1886,Pensacola,FL
25.9433,-80.2426,Miami_Gardens,FL
27.9088,-82.7712,Largo,FL
25.9407,-80.3102,Country_Club,FL
29.8449,-81.3156,St._Augustine_South,FL
27.7463,-82.71,Gulfport,FL
26.0294,-80.1679,Hollywood,FL
30.3685,-87.1769,Gulf_Breeze,FL
28.3042,-81.4164,Kissimmee,FL
28.214,-82.723,Elfers,FL
25.5396,-80.3971,Princeton,FL
27.9367,-82.3,Brandon,FL
28.1583,-82.3411,Pebble_Creek,FL
25.9302,-80.166,North_Miami_Beach,FL
30.6286,-87.0522,Milton,FL
27.957,-81.9866,Medulla,FL
25.67,-80.4483,The_Hammocks,FL
28.3146,-80.6713,Merritt_Island,FL
28.293,-82.6907,Jasmine_Estates,FL
28.5441,-81.4629,Orlovista,FL
26.2633,-81.8094,Naples_Park,FL
28.4476,-81.4922,Doctor_Phillips,FL
26.2785,-80.0891,Lighthouse_Point,FL
